Run Name,Mean Average Precision,Mean P@10,Mean NDCG@10,MeanNDCG@1000,Mean TBG
student1,0.250,0.282,0.371,0.485,2.037
student2,0.141,0.193,0.251,0.344,1.251
student3,0.099,0.158,0.181,0.312,1.265
student4,0.202,0.242,0.327,0.427,1.759
student5,0.224,0.256,0.32,0.464,1.978
student6,bad format,bad format,bad format,bad format,bad format
student7,bad format,bad format,bad format,bad format,bad format
student8,0.213,0.26,0.346,0.438,1.868
student9,0.139,0.204,0.241,0.327,1.59
student10,bad format,bad format,bad format,bad format,bad format
student11,0.137,0.167,0.21,0.299,1.131
student12,bad format,bad format,bad format,bad format,bad format
student13,0.073,0.093,0.115,0.201,0.77
student14,0.200,0.251,0.323,0.415,1.76
msmuckerAND,0.090,0.124,0.211,0.272,0.758